expt,geckoID,trial,4_limbs,fl_ht_mm,bl_ht_mm,avg_fl_stroke_vel_vert_mms,avg_fl_stroke_vel_hor_mms,avg_bl_stroke_vel_vert_mms,avg_bl_stroke_vel_hor_mms,bl_slap_vel_mms,fl_slap_vel_mms,fl_stroke_vel_mms,bl_stroke_vel_mms,stance_s,swing_s,period_s,vel_mms,head_ht_mm,fl_slap_imp_mNs,fl_slap_force_mN,fl_stroke_ver_imp_mNs,fl_stroke_ver_force_mN,fl_stroke_hor_imp_mNs,fl_stroke_hor_force_mN,bl_slap_imp_mNs,bl_slap_force_mN,bl_stroke_ver_imp_mNs,bl_stroke_ver_force_mN,bl_stroke_hor_imp_mNs,bl_stroke_hor_force_mN,min_imp_required_mNs,amp_nose,period_nose,wl_nose,amp_headbase,period_headbase,wl_headbase,amp_bodymid,period_bodymid,wl_bodymid,amp_tailbase,period_tailbase,wl_tailbase,amp_tailmid,period_tailmid,wl_tailmid,amp_tailtip,period_tailtip,wl_tailtip,omega,tail_submerge_mm,body_submerge_mm,body_angle,l_body_above_water_cm,avg_fl_slaptime_s,avg_fl_stroketime_s,avg_bl_slaptime_s,avg_bl_stroketime_s,body_thrust_mN,tail_thrust_mN,expt_avg_period_s,step_s,weight_g,weight_mN,weight_imp,fl_mm,ffoot_mm,ffoot_cm2,ffoot_rad_mm,bl_mm,bfoot_mm,bfoot_cm2,bfoot_rad_mm,tail_len_mm,svl_mm,body_ht_mm,body_wd_mm,buoyancy_N,buoyancy_mN,body_volume,fullbodyvolume,,tail_volume,surface_tension_value,surface_tension_N,surface_tension_mN,surface_tension_imp_mNs,rho_value,v_water,buoyancy_imp_mNs,tot_leg_vert_imp_mNs,tot_leg_hor_imp_mNs,tot_leg_vert_imp/min_imp,Bo,avg_2leg_stroke_vel_mms,avg_2feet_rad_mm,We,hull_sp_mms,freq_bodymid,freq_tailtip,froude,stance_ms,swing_ms,step_ms,period_ms,coeff_drag
soap,7,2,0,,,,,,,,,,,,,,402.96,5.2139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104583,,5.71,55.958,,21,6.5,0.331830724,3.25,23,9.5,0.708821842,4.75,39.2,59.6,11.9,16.9,0.036983704,,,11983.29102,,0,0.035,0.001759292,1.759291886,,940,0.00089,,,,,9.302659636,,4,,392.7561931,,,0.526992342,,,,,0.703
soap,7,1,1,6.5791,3.5984,456.44,716.03,644.15,655.82,190,712.83,456.44,644.15,0.031333,0.066,0.097,408.17,8.2117,0.0326,4.0782,0.22235,7.0961,0.24585,7.8463,0.0271,2.7149,0.56984,17.444,0.57295,17.539,2.713963,18.969,46,47.691,11.875,53,49.683,10.327,49,44.159,10.482,56,44.259,22.86,47,44.019,41.912,47,45.895,67.64450565,4.438270768,11.93952707,137.3,1.295704025,0.008,0.031333,0.01,0.032667,6.238875085,0.026444656,0.104583,0.0485,5.71,55.958,2.713963,21,6.5,0.331830724,3.25,23,9.5,0.708821842,4.75,39.2,59.6,11.9,16.9,0.036983704,67.93702256,7.37E-06,1.20E+04,6.15E-01,0,0.035,0.001759292,1.759291886,0.085325656,940,0.00089,3.294945594,0.85189,0.8188,0.313891531,9.302659636,550.295,4,16.830096,392.7561931,0.128228272,0.133684794,0.533805996,31.333,66,48.5,97,0.703
soap,7,7,1,4.3242,4.95,564.83,821.36,810.1,853.39,1547.6,662.04,564.83,810.1,0.023,0.06,0.086,514.54,10.501,0.0303,3.7877,0.22768,9.8991,0.26261,11.418,0.22113,55.283,0.62381,25.992,0.64052,26.689,2.406194,23.706,45,49.538,13.902,45,39.289,14.684,45,38.144,11.967,40,46.188,33.823,45,41.147,44.782,50,54.936,62.83185307,7.695487193,9.4282207,108.295,1.62982789,0.008,0.023,0.004,0.024,11.8101778,0.109497128,0.104583,0.043,5.71,55.958,2.406194,21,6.5,0.331830724,3.25,23,9.5,0.708821842,4.75,39.2,59.6,11.9,16.9,0.036983704,63.07039731,6.84E-06,1.20E+04,5.71E-01,0,0.035,0.001759292,1.759291886,0.075649551,940,0.00089,2.712027084,1.10292,0.90313,0.458367031,9.302659636,687.465,4,26.26616357,392.7561931,0.13962634,0.125663706,0.672917013,23,60,43,86,0.703
soap,7,9,1,5.0929,6.9754,846.97,861.27,776.22,494.72,738.83,519.53,846.97,776.22,0.018667,0.085,0.106,256.39,13.135,0.0238,2.642,0.26703,14.305,0.26954,14.44,0.10557,11.73,0.61136,21.834,0.54483,19.458,2.965774,19.407,50,36.083,9.668,60,42.672,10.139,10,35.468,13.357,40,30.002,14.966,55,38.765,38.255,60,46.747,52.35987756,10.15411796,10.84830081,140.25,1.779983738,0.009,0.018667,0.009,0.028,131.194291,0.018936325,0.104583,0.053,5.71,55.958,2.965774,21,6.5,0.331830724,3.25,23,9.5,0.708821842,4.75,39.2,59.6,11.9,16.9,0.036983704,60.88332743,6.60E-06,1.20E+04,5.51E-01,0,0.035,0.001759292,1.759291886,0.09324247,940,0.00089,3.226816354,1.00776,0.81437,0.339796626,9.302659636,811.595,4,36.60784679,392.7561931,0.628318531,0.104719755,0.33530764,18.667,85,53,106,0.703
soap,7,6,1,,,,,,,,,,,,,,518.67,10.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104583,,5.71,55.958,,21,6.5,0.331830724,3.25,23,9.5,0.708821842,4.75,39.2,59.6,11.9,16.9,0.036983704,,,11983.29102,,0,0.035,0.001759292,1.759291886,,940,0.00089,,,,,9.302659636,,4,,392.7561931,,,0.67831824,,,,,0.703
soap,8,3,0,,,,,,,,,,,,,,380.2,2.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104583,,6.9,67.62,,19,6.2,0.301907054,3.1,19.2,7.9,0.490166994,3.95,48.1,57.4,12.2,18.2,0.044893951,,,14932.91351,,0,0.035,0.001550376,1.550375975,,940,0.00089,,,,,8.028229342,,3.525,,405.8549053,,,0.506665884,,,,,0.703
soap,10,3,0,,,,,,,,,,,,,,281.3,2.7633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104583,,5.3,51.94,,19.3,6.6,0.34211944,3.3,24.3,7.9,0.490166994,3.95,59.2,56.5,9.4,14.4,0.031308718,,,9201.599219,,0,0.035,0.001594358,1.594358272,,940,0.00089,,,,,8.6811193,,3.625,,425.0218418,,,0.377842673,,,,,0.703
soap,10,7,0,,,,,,,,,,,,,,386.93,3.5495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104583,,5.3,51.94,,19.3,6.6,0.34211944,3.3,24.3,7.9,0.490166994,3.95,59.2,56.5,9.4,14.4,0.031308718,,,9201.599219,,0,0.035,0.001594358,1.594358272,,940,0.00089,,,,,8.6811193,,3.625,,425.0218418,,,0.519725081,,,,,0.703
soap,10,4,1,,,,,,,,,,,,,,285.52,6.0789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104583,,5.3,51.94,,19.3,6.6,0.34211944,3.3,24.3,7.9,0.490166994,3.95,59.2,56.5,9.4,14.4,0.031308718,,,9201.599219,,0,0.035,0.001594358,1.594358272,,940,0.00089,,,,,8.6811193,,3.625,,425.0218418,,,0.383510984,,,,,0.703
soap,10,5,1,,,,,,,,,,,,,,411.01,7.9881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.56227073,,,,,,,,0.104583,,5.3,51.94,,19.3,6.6,0.34211944,3.3,24.3,7.9,0.490166994,3.95,59.2,56.5,9.4,14.4,0.031308718,,,9201.599219,,0,0.035,0.001594358,1.594358272,,940,0.00089,,,,,8.6811193,,3.625,,425.0218418,,,0.552069381,,,,,0.703
